,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
526,12570,12570,+41.6263208,-073.6756622
527,12571,12571,+42.0027745,-073.8096084
528,12572,12572,+41.9248846,-073.8636640
529,12574,12574,+41.9176880,-073.9456583
530,12575,12575,+41.4667045,-074.1788715
531,12777,12777,+41.5618024,-074.7096181
532,12887,12887,+43.5367603,-073.3657984
533,12901,12901,+44.7040212,-073.4711483
534,12903,12903,+44.6803030,-073.4458831
535,13045,13045,+42.5738073,-076.2021023
536,13051,13051,+42.8767251,-075.9086386
537,13052,13052,+42.7123098,-075.8651937
538,13053,13053,+42.4795744,-076.2679186
539,13054,13054,+43.1693516,-075.6668230
540,13165,13165,+42.9166394,-076.8832970
541,13469,13469,+43.2148283,-075.3023670
542,13470,13470,+43.2096509,-074.6100520
543,13471,13471,+43.3575967,-075.5773973
544,13667,13667,+44.8372674,-074.9600972
545,13668,13668,+44.7549543,-074.9863135
546,13669,13669,+44.6727773,-075.4823422
547,13670,13670,+44.1673792,-075.1167346
548,13672,13672,+44.4705430,-074.6607062
549,13673,13673,+44.1642713,-075.7177820
550,13674,13674,+43.7385605,-076.0481803
551,13675,13675,+44.2817180,-075.8462856
552,13676,13676,+44.6549598,-074.9262224
553,13677,13677,+44.5124285,-075.1796730
554,10009,10009,+40.7264080,-073.9786360
555,10010,10010,+40.7390449,-073.9822316
556,10467,10467,+40.8699533,-073.8656955
557,10468,10468,+40.8689655,-073.8999436
558,10994,10994,+41.0980715,-073.9726491
559,11703,11703,+40.7326705,-073.3259255
560,11704,11704,+40.7175041,-073.3582029
561,11705,11705,+40.7432775,-073.0558411
562,11706,11706,+40.7225373,-073.2521829
563,11709,11709,+40.9064785,-073.5595050
564,11710,11710,+40.6718029,-073.5335138
565,11713,11713,+40.7761520,-072.9432914
566,11714,11714,+40.7425532,-073.4860812
567,11715,11715,+40.7510063,-073.0348768
568,11716,11716,+40.7766974,-073.1348570
569,11717,11717,+40.7837651,-073.2522076
570,11956,11956,+40.9690492,-072.4621745
571,11957,11957,+41.1922014,-072.1489683
572,11958,11958,+41.0390672,-072.4644192
573,11959,11959,+40.8225856,-072.6013445
574,11960,11960,+40.8106153,-072.7060622
575,11961,11961,+40.9051388,-072.8883492
576,11962,11962,+40.9308947,-072.2687188
577,11963,11963,+40.9938864,-072.3201957
578,11964,11964,+41.0557010,-072.3169760
579,11965,11965,+41.0960815,-072.2883998
580,11967,11967,+40.7947779,-072.8754767
581,11968,11968,+40.9059259,-072.4156632
582,11970,11970,+40.9389522,-072.5775392
583,11971,11971,+41.0640369,-072.4309259
584,11972,11972,+40.8480163,-072.7029225
585,11973,11973,+40.8671734,-072.8821233
586,12165,12165,+42.3057210,-073.5109863
587,12577,12577,+41.4240405,-074.1221421
588,12578,12578,+41.8091247,-073.7958585
589,12580,12580,+41.8636487,-073.8715344
590,12581,12581,+41.9018795,-073.7006519
591,12582,12582,+41.5442935,-073.7384434
592,12583,12583,+42.0633666,-073.8686522
593,12585,12585,+41.7264036,-073.6915098
594,12586,12586,+41.5627645,-074.1701021
595,12778,12778,+41.6426778,-074.8175501
596,12779,12779,+41.7024662,-074.6321955
597,12780,12780,+41.4401421,-074.7273431
598,12781,12781,+41.6196772,-074.4663844
599,12783,12783,+41.7386332,-074.8337243
600,13057,13057,+43.1019546,-076.0379192
601,13060,13060,+43.0228619,-076.4118724
602,13061,13061,+42.8718510,-075.7620815
603,13062,13062,+42.4840947,-076.3843763
604,13166,13166,+43.0719222,-076.5568205
605,13167,13167,+43.3264208,-076.0602600
606,13202,13202,+43.0437814,-076.1506388
607,13203,13203,+43.0611110,-076.1349242
608,13204,13204,+43.0508168,-076.1774726
609,13205,13205,+43.0052765,-076.1420296
610,13206,13206,+43.0734658,-076.1058201
611,13207,13207,+43.0128678,-076.1634015
612,13208,13208,+43.0787683,-076.1452292
613,13209,13209,+43.0685024,-076.2242507
614,13210,13210,+43.0311885,-076.1270214
615,13211,13211,+43.1035725,-076.1194842
616,13212,13212,+43.1296974,-076.1301544
617,13214,13214,+43.0387089,-076.0755913
618,13215,13215,+42.9807929,-076.2233857
619,13219,13219,+43.0412663,-076.2241952
620,13224,13224,+43.0371625,-076.1028996
621,13290,13290,+43.0691355,-076.1730170
622,13301,13301,+43.4160499,-075.2181751
623,13472,13472,+43.6974112,-075.0678361
624,13473,13473,+43.6429409,-075.4463755
625,13475,13475,+42.8937414,-074.8305294
626,13476,13476,+43.0875025,-075.5095141
